human,human_voice,life,nature,song,others,sec,pred_voice,men,women,pred_gender
0.4,0.4,0.1,0.0,0.1,0.5,0.0,human,0.1,0.9,read_women
0.4,0.4,0.1,0.0,0.1,0.5,0.1,human,0.1,0.9,read_women
0.4,0.3,0.0,0.0,0.3,0.4,0.2,human,0.1,0.9,read_women
0.4,0.4,0.1,0.0,0.1,0.5,0.3,human,0.1,0.9,read_women
0.4,0.3,0.2,0.0,0.1,0.6000000000000001,0.4,human,0.1,0.9,read_women
0.2,0.6,0.0,0.0,0.2,0.2,0.5,human_voice,0.1,0.9,read_women
0.2,0.6,0.0,0.0,0.2,0.2,0.6,human_voice,0.0,1.0,read_women
0.4,0.4,0.0,0.0,0.2,0.4,0.7,human,0.1,0.9,read_women
0.4,0.3,0.1,0.0,0.2,0.5,0.8,human,0.1,0.9,read_women
0.4,0.1,0.2,0.0,0.3,0.6000000000000001,0.9,human,0.1,0.9,read_women
0.4,0.2,0.1,0.0,0.3,0.5,1.0,human,0.3,0.7,read_women
0.5,0.2,0.1,0.0,0.2,0.6,1.1,human,0.5,0.5,read_men
0.4,0.3,0.1,0.0,0.2,0.5,1.2,human,0.5,0.5,read_men
0.4,0.3,0.1,0.0,0.2,0.5,1.3,human,0.5,0.5,read_men
0.1,0.3,0.1,0.1,0.4,0.30000000000000004,1.4,song,0.6,0.4,read_men
0.0,0.2,0.2,0.1,0.5,0.30000000000000004,1.5,song,0.5,0.5,read_men
0.1,0.2,0.2,0.1,0.4,0.4,1.6,song,0.5,0.5,read_men
0.0,0.3,0.2,0.0,0.5,0.2,1.7,song,0.6,0.4,read_men
0.1,0.3,0.2,0.1,0.3,0.4,1.8,human_voice,0.6,0.4,read_men
0.3,0.1,0.2,0.0,0.4,0.5,1.9,song,0.2,0.8,read_women
0.2,0.2,0.1,0.1,0.4,0.4,2.0,song,0.4,0.6,read_women
0.4,0.1,0.2,0.0,0.3,0.6000000000000001,2.1,human,0.2,0.8,read_women
0.2,0.3,0.1,0.0,0.4,0.30000000000000004,2.2,song,0.3,0.7,read_women
0.4,0.3,0.0,0.0,0.3,0.4,2.3,human,0.2,0.8,read_women
0.4,0.4,0.0,0.0,0.2,0.4,2.4,human,0.3,0.7,read_women
0.5,0.2,0.0,0.0,0.3,0.5,2.5,human,0.4,0.6,read_women
0.5,0.2,0.0,0.0,0.3,0.5,2.6,human,0.4,0.6,read_women
0.3,0.2,0.0,0.1,0.4,0.4,2.7,song,0.2,0.8,read_women
0.4,0.3,0.0,0.0,0.3,0.4,2.8,human,0.2,0.8,read_women
0.2,0.5,0.0,0.0,0.3,0.2,2.9,human_voice,0.2,0.8,read_women
0.2,0.5,0.0,0.0,0.3,0.2,3.0,human_voice,0.2,0.8,read_women
0.2,0.5,0.0,0.0,0.3,0.2,3.1,human_voice,0.3,0.7,read_women
0.2,0.5,0.1,0.0,0.2,0.30000000000000004,3.2,human_voice,0.2,0.8,read_women
0.3,0.4,0.0,0.0,0.3,0.3,3.3,human_voice,0.2,0.8,read_women
0.3,0.5,0.0,0.1,0.1,0.4,3.4,human_voice,0.2,0.8,read_women
0.3,0.4,0.0,0.1,0.2,0.4,3.5,human_voice,0.2,0.8,read_women
0.2,0.6,0.0,0.0,0.2,0.2,3.6,human_voice,0.2,0.8,read_women
0.1,0.6,0.1,0.0,0.2,0.2,3.7,human_voice,0.1,0.9,read_women
0.2,0.6,0.1,0.0,0.1,0.30000000000000004,3.8,human_voice,0.1,0.9,read_women
0.1,0.7,0.1,0.0,0.1,0.2,3.9,human_voice,0.1,0.9,read_women
0.3,0.5,0.1,0.0,0.1,0.4,4.0,human_voice,0.1,0.9,read_women
0.7,0.1,0.1,0.0,0.1,0.7999999999999999,4.1,human,0.0,1.0,read_women
0.5,0.3,0.1,0.0,0.1,0.6,4.2,human,0.0,1.0,read_women
0.6,0.2,0.1,0.0,0.1,0.7,4.3,human,0.0,1.0,read_women
0.6,0.1,0.1,0.0,0.2,0.7,4.4,human,0.0,1.0,read_women
0.7,0.2,0.0,0.0,0.1,0.7,4.5,human,0.0,1.0,read_women
0.7,0.1,0.0,0.0,0.2,0.7,4.6,human,0.0,1.0,read_women
0.7,0.2,0.0,0.0,0.1,0.7,4.7,human,0.0,1.0,read_women
0.8,0.2,0.0,0.0,0.0,0.8,4.8,human,0.0,1.0,read_women
0.7,0.2,0.0,0.0,0.1,0.7,4.9,human,0.0,1.0,read_women
0.6,0.3,0.0,0.0,0.1,0.6,5.0,human,0.0,1.0,read_women
0.6,0.4,0.0,0.0,0.0,0.6,5.1,human,0.0,1.0,read_women
0.7,0.3,0.0,0.0,0.0,0.7,5.2,human,0.0,1.0,read_women
0.6,0.2,0.0,0.0,0.2,0.6,5.3,human,0.0,1.0,read_women
