None,75.4,80.2,67_0,0.3179|0.5631|0.5617|0.5867|0.5966|0.6721|0.6268|0.5869|0.5881|0.5073|0.3939|0.5446|0.5474|0.6074|0.6271|0.6364|0.5499|0.6437|0.6533|0.6798|0.7111|0.7135|0.6619|0.687|0.6863|0.6269|0.6936|0.6184|0.6657|0.6571|0.5929|0.5375|0.5586|0.4239|0.4872|0.271|0.2589|0.2819|0.4202|0.4369|0.4396|0.4102|0.3277|0.2623|0.2825|0.3102|0.3415|0.2721|0.2749,0.4948|0.4927|0.4974|0.5|0.4943|0.4979|0.4979|0.4964|0.4927|0.4839|0.4839|0.4932|0.4854|0.488|0.4932|0.4828|0.4813|0.4849|0.4859|0.488|0.4839|0.4927|0.4766|0.4797|0.4766|0.4823|0.4786|0.4859|0.487|0.4896|0.487|0.4859|0.4823|0.4813|0.4802|0.4812|0.4792|0.4828|0.4781|0.4719|0.4687|0.4672|0.4667|0.4661|0.4672|0.4641|0.4609|0.4594|0.4557,0.6907|0.6806|0.6685|0.6611|0.65|0.6398|0.6287|0.6111|0.6009|0.5796|0.575|0.5676|0.5472|0.537|0.5185|0.5028|0.4944|0.4861|0.4796|0.4722|0.4648|0.4602|0.4472|0.4417|0.4315|0.4269|0.4185|0.4083|0.3963|0.3935|0.388|0.388|0.387|0.3824|0.3917|0.3824|0.3935|0.3722|0.3806|0.3843|0.3778|0.3778|0.3787|0.3759|0.3787|0.3824|0.3694|0.4056|0.3917,0.113|0.1099|0.1068|0.1016|0.1042|0.1042|0.101|0.1052|0.1068|0.1193|0.1193|0.101|0.112|0.1057|0.0974|0.1141|0.1141|0.1099|0.1073|0.1052|0.1083|0.0932|0.1063|0.1021|0.0995|0.0927|0.0948|0.0849|0.0812|0.0766|0.0786|0.0776|0.0792|0.074|0.0708|0.0708|0.0688|0.0656|0.0677|0.0714|0.074|0.075|0.075|0.075|0.0729|0.074|0.076|0.0688|0.0688,0.2833|0.2972|0.3019|0.3019|0.3|0.2907|0.2898|0.3|0.3074|0.3713|0.3528|0.3556|0.3639|0.3519|0.3167|0.3537|0.3694|0.3583|0.3454|0.338|0.3454|0.3343|0.3537|0.3537|0.3593|0.3611|0.3676|0.3824|0.3935|0.3935|0.4009|0.4009|0.3954|0.3954|0.3796|0.3944|0.3704|0.388|0.3546|0.338|0.3491|0.3454|0.3435|0.3602|0.3583|0.3556|0.3759|0.3148|0.3333
None,85.1,85.3,67_1,0.6002|None|0.7335,0.4495|None|0.4578,0.3778|None|0.3796,0.0656|None|0.0542,0.2944|None|0.2694
None,87.6,87.8,67_1,0.804|0.7574|0.7215,0.4318|0.4297|0.4349,0.3519|0.3537|0.3509,0.0786|0.0786|0.0703,0.2602|0.2639|0.2694
None,88.3,89.1,67_1,0.6177|0.4841|0.6697|0.45|None|0.6815|None|0.7277|0.7774,0.4297|0.438|0.4307|0.4391|None|0.4286|None|0.424|0.4198,0.3528|0.3528|0.3546|0.3528|None|0.3565|None|0.3565|0.3593,0.0589|0.049|0.0594|0.049|None|0.0672|None|0.0755|0.0812,0.2556|0.1398|0.2593|0.1444|None|0.2667|None|0.2713|0.2704
None,71.3,92.2,0_0,0.4066|0.4399|0.6758|0.6746|0.6601|0.7108|0.7493|0.7064|0.7529|0.7759|0.7765|0.8092|0.7389|0.7825|0.843|0.8311|0.8425|0.8342|0.8216|0.8687|0.8803|0.877|0.8757|0.8728|0.8753|0.9002|0.8959|0.8897|0.8801|0.8723|0.8688|0.8727|0.8579|0.815|0.8193|0.8552|0.8634|0.8623|0.8381|0.8619|0.8659|0.8891|0.8964|0.873|0.865|0.8757|0.8436|0.8297|0.87|0.8949|0.8997|0.9004|0.8602|0.8788|0.8625|0.7821|0.7442|0.814|0.8335|0.8101|0.8587|0.8912|0.8816|0.8893|0.8935|0.8967|0.9059|0.8891|0.9057|0.9028|0.9108|0.9093|0.9012|0.9135|0.9184|0.9207|0.9198|0.9113|0.9035|0.9166|0.9137|0.9107|0.9134|0.9167|0.9148|0.9128|0.913|0.9162|0.9142|0.9238|0.9175|0.9125|0.9005|0.8962|0.9046|0.9076|0.9099|0.9156|0.9097|0.8974|0.8858|0.8879|0.8811|0.8957|0.895|0.9157|0.9072|0.8989|0.9077|0.9089|0.918|0.9262|0.9276|0.9274|0.9286|0.9242|0.9146|0.9078|0.9146|0.9133|0.9154|0.9198|0.9255|0.922|0.9155|0.9224|0.9301|0.9215|0.927|0.9216|0.9117|0.9164|0.9019|0.8803|0.776|0.8056|0.8981|0.9044|0.8974|0.8921|0.9055|0.8832|0.9006|0.8929|0.9|0.8744|0.8865|0.8932|0.8939|0.8106|0.8342|0.8574|0.866|0.888|0.893|0.925|0.9284|0.933|0.9209|0.9184|0.9178|0.92|0.9178|0.925|0.9203|0.9241|0.9117|0.9228|0.9234|0.9243|0.9261|0.9248|0.9197|0.9175|0.9115|0.914|0.9164|0.9112|0.9155|0.9126|0.9172|0.9136|0.918|0.917|0.9068|0.9096|0.9134|0.9188|0.9149|0.9161|0.9166|0.912|0.9155|0.9199|0.9141|0.9143|0.9154|0.9189|0.9219|0.9205|0.9161|0.9271|0.9302|0.9309|0.9244|0.922|0.9167|0.9074|0.9237|0.9224,0.3406|0.3323|0.3292|0.3312|0.3354|0.3432|0.3453|0.3453|0.3443|0.3438|0.3396|0.3354|0.3286|0.324|0.3203|0.3156|0.3115|0.2995|0.2948|0.2865|0.2839|0.2823|0.2812|0.2828|0.2828|0.2849|0.2859|0.2875|0.288|0.2875|0.2885|0.2901|0.2885|0.2891|0.288|0.2865|0.2875|0.2823|0.274|0.2599|0.2453|0.2437|0.2406|0.2344|0.2328|0.2307|0.226|0.2089|0.2089|0.212|0.2104|0.2031|0.1922|0.1724|0.149|0.1307|0.1063|0.0687|0.0438|0.0359|0.0292|0.0286|0.0255|0.0245|0.025|0.0245|0.024|0.0229|0.0214|0.0224|0.0203|0.0172|0.0172|0.0146|0.0156|0.0156|0.0161|0.0115|0.012|0.0099|0.0104|0.0099|0.0089|0.0042|0.0052|0.0042|0.0047|0.0047|0.0047|0.0047|0.0047|0.0052|0.0052|0.0036|0.0042|0.0|0.001|0.0|0.0|0.0|0.0016|0.0031|0.0021|0.0|0.0031|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0026|0.0036|0.0047|0.0062|0.0068|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0016|0.0047|0.0021|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0005|0.0031|0.0042|0.0036|0.0016|0.001|0.0005|0.0|0.0|0.0016|0.001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0094|0.0073|0.0078|0.0089|0.0068|0.0068|0.0089|0.001|0.0|0.0|0.0|0.0052|0.0|0.0|0.0|0.0036|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0052|0.0047|0.0|0.0073|0.0057|0.0047|0.0062|0.0062|0.0068|0.0073|0.0078|0.0063|0.0062|0.0026|0.0042|0.0016|0.0005,0.8769|0.8676|0.8546|0.8444|0.8278|0.813|0.8019|0.7944|0.7796|0.7694|0.7574|0.7444|0.7343|0.725|0.7102|0.7009|0.687|0.6657|0.6528|0.6278|0.6185|0.6056|0.5778|0.5657|0.5509|0.5389|0.5222|0.4935|0.4843|0.462|0.4463|0.4324|0.4019|0.3843|0.3704|0.3546|0.3389|0.3194|0.3083|0.2917|0.2722|0.2667|0.2583|0.2472|0.2306|0.2139|0.2019|0.1944|0.1843|0.1787|0.1639|0.15|0.1324|0.113|0.1046|0.087|0.0731|0.0556|0.0435|0.0324|0.0306|0.0278|0.0241|0.0213|0.0222|0.0185|0.0231|0.0231|0.0231|0.025|0.0287|0.0287|0.0324|0.037|0.038|0.0454|0.0491|0.0546|0.0722|0.0787|0.0852|0.0843|0.0852|0.087|0.0852|0.088|0.0861|0.0889|0.0972|0.0981|0.1093|0.112|0.1241|0.1352|0.1454|0.163|0.1648|0.1778|0.1796|0.1815|0.1824|0.1806|0.1815|0.1824|0.1833|0.1815|0.1898|0.1824|0.187|0.1852|0.1843|0.1824|0.1843|0.1824|0.1843|0.187|0.1843|0.1843|0.1824|0.1833|0.1833|0.1806|0.1787|0.1796|0.1769|0.1769|0.1769|0.1769|0.1769|0.1741|0.175|0.1676|0.1519|0.1361|0.1074|0.0806|0.0435|0.0389|0.0324|0.0306|0.0315|0.0333|0.0296|0.0287|0.025|0.0259|0.0296|0.0296|0.0306|0.0287|0.0269|0.0287|0.0296|0.0324|0.0306|0.0315|0.0278|0.0296|0.0324|0.025|0.0231|0.0213|0.0139|0.0157|0.0157|0.0176|0.0148|0.0139|0.0157|0.0185|0.0194|0.0194|0.0167|0.0139|0.0148|0.0148|0.0157|0.0176|0.013|0.0139|0.0139|0.0148|0.0111|0.0093|0.0093|0.0102|0.0102|0.0111|0.012|0.013|0.013|0.0111|0.0148|0.0157|0.0148|0.0157|0.013|0.0093|0.0102|0.0102|0.012|0.0148|0.0139|0.0157|0.0167|0.0157|0.0157|0.0102|0.013|0.012,0.2203|0.2292|0.2474|0.2521|0.2536|0.2526|0.2578|0.2646|0.2641|0.2651|0.2682|0.2719|0.2755|0.2781|0.2797|0.2807|0.2823|0.2875|0.2906|0.2979|0.2964|0.2984|0.3005|0.2964|0.2953|0.2974|0.2979|0.3|0.301|0.3026|0.3052|0.3115|0.312|0.3063|0.3083|0.3109|0.312|0.3229|0.3349|0.3484|0.3734|0.3682|0.375|0.3818|0.3807|0.3786|0.3849|0.4083|0.4078|0.3979|0.3974|0.4036|0.4151|0.4365|0.4719|0.5172|0.5755|0.6354|0.6771|0.6849|0.7005|0.701|0.7036|0.7031|0.7052|0.7021|0.7031|0.7094|0.7172|0.7151|0.7229|0.7297|0.7255|0.7349|0.737|0.738|0.7375|0.7448|0.7464|0.7521|0.75|0.7516|0.7516|0.7583|0.7557|0.7536|0.7495|0.7516|0.7422|0.7406|0.7339|0.7307|0.7266|0.7297|0.724|0.7349|0.7333|0.7427|0.762|0.7693|0.7672|0.762|0.7656|0.7672|0.7563|0.7464|0.7432|0.7396|0.737|0.7359|0.737|0.7359|0.7375|0.737|0.7406|0.7458|0.7448|0.7495|0.7417|0.7411|0.7516|0.7531|0.7516|0.749|0.7469|0.7443|0.7375|0.7406|0.7406|0.7417|0.7411|0.7359|0.7318|0.7229|0.7057|0.7135|0.7193|0.7297|0.7286|0.7365|0.7417|0.7427|0.7526|0.7484|0.7474|0.7453|0.7464|0.7484|0.7594|0.7693|0.7812|0.7797|0.7714|0.7646|0.7661|0.763|0.7583|0.7521|0.7375|0.7385|0.7385|0.7349|0.7333|0.7328|0.7292|0.7281|0.7266|0.7266|0.7042|0.7089|0.7115|0.7057|0.7063|0.7052|0.7016|0.7203|0.7188|0.7182|0.7177|0.7021|0.7177|0.7182|0.7182|0.7068|0.7214|0.7229|0.724|0.7245|0.7245|0.7245|0.7234|0.7208|0.7193|0.7036|0.7021|0.7161|0.7|0.7031|0.7036|0.7036|0.6984|0.6974|0.6964|0.6979|0.701|0.6979|0.7052|0.7036|0.7052|0.7073,0.1148|0.1241|0.1361|0.1463|0.163|0.1759|0.1861|0.1935|0.2083|0.2157|0.2241|0.2389|0.2472|0.2574|0.2713|0.2806|0.2954|0.3185|0.3296|0.3556|0.3657|0.3787|0.4019|0.413|0.4287|0.4407|0.4556|0.4833|0.4926|0.5148|0.5287|0.5463|0.5741|0.5907|0.6|0.6167|0.6324|0.6444|0.6546|0.6731|0.6907|0.7009|0.7259|0.7343|0.7444|0.7546|0.7648|0.7713|0.7917|0.7917|0.8083|0.8185|0.8361|0.8602|0.8722|0.8907|0.9204|0.9444|0.9565|0.9676|0.9694|0.9722|0.9759|0.9787|0.9778|0.9815|0.9769|0.9769|0.9769|0.975|0.9713|0.9713|0.9676|0.963|0.962|0.9546|0.9509|0.9454|0.9278|0.9213|0.9148|0.9157|0.9148|0.913|0.9148|0.912|0.9139|0.9111|0.9028|0.9019|0.8907|0.888|0.8759|0.8648|0.8546|0.837|0.8352|0.8222|0.8204|0.8185|0.8167|0.8194|0.8176|0.8157|0.8167|0.8185|0.8102|0.8176|0.813|0.8148|0.8157|0.8176|0.8157|0.8176|0.8157|0.812|0.8148|0.8157|0.8167|0.8167|0.8167|0.8194|0.8213|0.8194|0.8231|0.8231|0.8231|0.8231|0.8231|0.8259|0.825|0.8324|0.8481|0.8611|0.8926|0.9194|0.9565|0.9611|0.9676|0.9694|0.9685|0.9667|0.9704|0.9676|0.975|0.9741|0.9704|0.9704|0.9694|0.9713|0.9731|0.9713|0.9704|0.9676|0.9694|0.9685|0.9722|0.9704|0.9676|0.975|0.9769|0.9787|0.9861|0.9843|0.9843|0.9824|0.9852|0.9861|0.9843|0.9815|0.9806|0.9806|0.9833|0.9861|0.9852|0.9852|0.9843|0.9824|0.987|0.9861|0.9861|0.9852|0.9889|0.9907|0.9907|0.9898|0.9898|0.9889|0.988|0.987|0.987|0.9889|0.9852|0.9843|0.9852|0.9843|0.987|0.9907|0.9898|0.9898|0.988|0.9852|0.9861|0.9843|0.9833|0.9843|0.9843|0.9898|0.987|0.988
None,84.9,92.2,67_0,0.6972|0.7712|0.4204|0.6935|0.2826|0.8386|0.8461|0.8259|0.8213|0.7867|0.8232|0.2532|0.2641|0.7301|0.7611|0.2624|0.2904|0.7315|0.7877|0.7762|0.4242|0.771|0.2973|0.4284|0.7823|0.7654|0.328|0.3971|0.4436|0.393|0.7475|0.7734|0.6254|0.263|0.4462|0.3571|0.3042|0.2749|0.7016|0.4364|0.7925|0.3046|0.2653|0.7804|0.7905|0.7667|0.8005|0.8124|0.306|0.2791|0.7898|0.2814|0.3084|0.8134|0.8275|0.8054|0.8141|0.793|0.7503|0.7952|0.7672|0.7643|0.7342|0.3617|0.6571|0.411|0.4984|0.398|0.5628|0.5432|0.3717|0.2962|0.7631|0.7489,0.4443|0.4443|0.4495|0.45|0.4578|0.4609|0.4615|0.4625|0.4625|0.4656|0.4708|0.4797|0.4818|0.4802|0.4802|0.4844|0.4839|0.4786|0.4667|0.4625|0.4781|0.4625|0.4656|0.4641|0.4469|0.4521|0.4589|0.4542|0.4505|0.449|0.4318|0.4349|0.4312|0.426|0.413|0.4255|0.4245|0.4281|0.4302|0.4406|0.4177|0.4417|0.4401|0.4182|0.4187|0.4177|0.4182|0.4172|0.437|0.4375|0.4156|0.4391|0.4401|0.4167|0.4172|0.4172|0.4156|0.4151|0.4177|0.413|0.4172|0.4167|0.4214|0.4385|0.425|0.437|0.4359|0.4333|0.4292|0.4073|0.4266|0.424|0.401|0.4031,0.3731|0.375|0.375|0.3796|0.3778|0.3769|0.3861|0.4009|0.4|0.3926|0.3843|0.5222|0.5037|0.3667|0.3556|0.4796|0.487|0.3583|0.3593|0.3639|0.3639|0.3676|0.3565|0.3583|0.3574|0.3537|0.3546|0.3546|0.3565|0.3537|0.3417|0.3417|0.3546|0.4843|0.4565|0.4824|0.4833|0.4833|0.3565|0.3565|0.3556|0.3556|0.3639|0.3574|0.3602|0.3602|0.3602|0.3593|0.3639|0.3639|0.3574|0.3574|0.3574|0.3556|0.3537|0.3537|0.3528|0.3509|0.3528|0.3528|0.3519|0.3509|0.3509|0.3546|0.3519|0.3528|0.3528|0.3574|0.3583|0.3602|0.3593|0.3611|0.3528|0.3565,0.0745|0.0729|0.05|0.062|0.0474|0.0552|0.0583|0.0635|0.0661|0.0682|0.0672|0.0484|0.0495|0.0589|0.0594|0.0453|0.0448|0.0599|0.0708|0.074|0.0542|0.0651|0.0609|0.0573|0.0729|0.062|0.0521|0.0542|0.0573|0.0557|0.0682|0.0625|0.0604|0.0578|0.0646|0.0589|0.0609|0.0615|0.0641|0.0516|0.0812|0.0552|0.0583|0.0818|0.0812|0.0818|0.0812|0.0823|0.0604|0.0604|0.0839|0.0578|0.0573|0.0844|0.0839|0.0844|0.0854|0.087|0.0839|0.0885|0.0833|0.0839|0.0792|0.0573|0.0724|0.0531|0.0521|0.05|0.0547|0.0771|0.0536|0.0562|0.0781|0.075,0.3204|0.3037|0.1435|0.2806|0.1324|0.2648|0.2574|0.2546|0.2593|0.2537|0.2509|0.0991|0.1102|0.25|0.2537|0.1111|0.1046|0.2444|0.2454|0.2528|0.1491|0.2435|0.1639|0.1593|0.2546|0.2454|0.1491|0.1565|0.1509|0.1528|0.2593|0.2602|0.2472|0.1102|0.162|0.1167|0.1148|0.1176|0.2611|0.15|0.2741|0.1593|0.15|0.275|0.2685|0.2694|0.2676|0.2657|0.1491|0.1491|0.2722|0.1556|0.1556|0.2704|0.2722|0.2694|0.2713|0.2731|0.2704|0.2722|0.2667|0.2694|0.2731|0.1556|0.2611|0.1509|0.1481|0.15|0.1481|0.2657|0.1481|0.1454|0.2722|0.2676
None,91.4,92.0,67_1,0.6266|0.5083|0.541|0.5737|0.5435|0.6922|0.6482,0.413|0.4073|0.4052|0.4063|0.4302|0.4047|0.4063,0.3528|0.3565|0.3593|0.3611|0.3583|0.3565|0.3565,0.0807|0.0854|0.0833|0.0802|0.0516|0.0766|0.074,0.2546|0.2556|0.2648|0.262|0.1444|0.2694|0.2667
None,103.4,107.9,67_0,0.3399|0.32|0.3787|0.3136|0.4212|0.4427|0.2729|0.2729|0.6967|0.7496|0.7664|0.6962|0.7019|0.7349|0.7896|0.7137|0.7073|0.6789|0.6259|0.6946|0.682|0.6562|0.6456|0.5368|0.6063|0.5927|0.546|0.5766|0.3883|0.7163|0.8093|0.3885|0.4831|0.5168|0.7976|0.723|0.3481|None|0.4019|0.3796|0.3126|0.4232|0.378|0.6888|0.7828|0.6139,0.5453|0.5396|0.5411|0.5464|0.5333|0.5286|0.5589|0.5594|0.5354|0.538|0.5422|0.5245|0.525|0.5271|0.526|0.5271|0.5266|0.5281|0.5401|0.5391|0.5443|0.5438|0.5438|0.5443|0.5438|0.5464|0.5443|0.5453|0.5484|0.5464|0.5474|0.5307|0.5188|0.4937|0.4734|0.4568|0.4396|None|0.4167|0.4198|0.4214|0.4214|0.4568|0.4875|0.5135|0.5313,0.5537|0.5519|0.5509|0.5528|0.5537|0.5509|0.5472|0.5361|0.5333|0.5269|0.5213|0.5083|0.5093|0.5056|0.5028|0.4991|0.4991|0.4944|0.4917|0.4898|0.4889|0.488|0.4907|0.4907|0.4806|0.4769|0.4694|0.4685|0.4667|0.4481|0.438|0.4259|0.4204|0.4185|0.4176|0.4157|0.4139|None|0.4167|0.4167|0.4157|0.4148|0.4157|0.4287|0.4361|0.438,0.0896|0.0958|0.0896|0.087|0.1036|0.1078|0.0651|0.0693|0.0849|0.0786|0.0755|0.0932|0.0917|0.0885|0.0896|0.0932|0.0859|0.0839|0.075|0.0766|0.0766|0.0833|0.0823|0.0755|0.0839|0.0802|0.0828|0.0839|0.0646|0.0547|0.05|0.0453|0.0458|0.1021|0.1078|0.124|0.1255|None|0.1469|0.1417|0.1391|0.1354|0.1099|0.0885|0.0568|0.0453,0.1769|0.1787|0.188|0.1556|0.1759|0.187|0.125|0.1296|0.2278|0.2361|0.2407|0.2556|0.2593|0.2676|0.2694|0.2713|0.2713|0.2731|0.2731|0.2713|0.2648|0.2685|0.2676|0.262|0.2861|0.2787|0.3028|0.3065|0.2778|0.25|0.2583|0.1528|0.1435|0.2167|0.1889|0.187|0.1611|None|0.1565|0.1565|0.163|0.1556|0.1537|0.1843|0.162|0.1463
None,109.7,112.5,67_0,0.3255|0.3746|0.638|0.658|0.5633|0.7148|0.6983|0.6401|0.6813|0.7711|0.6586|0.6765|0.6733|0.6592|0.6842|0.7107|0.6515|0.4839|0.4632|0.5922|0.619|0.5459|0.5472|0.721|0.5937|0.3918|0.5564|0.5199|0.586,0.5172|0.5125|0.5068|0.4958|0.4891|0.4823|0.4776|0.4771|0.4813|0.4839|0.4901|0.4953|0.4969|0.5|0.5|0.4958|0.4755|0.4411|0.4135|0.4052|0.4177|0.3932|0.413|0.4266|0.4286|0.4302|0.4302|0.4333|0.4365,0.4537|0.4583|0.4593|0.4685|0.475|0.4741|0.4778|0.4796|0.4769|0.4713|0.475|0.4722|0.475|0.4648|0.4528|0.4333|0.3898|0.3454|0.3259|0.3222|0.3176|0.313|0.2981|0.2824|0.2685|0.2574|0.2417|0.2306|0.2148,0.0448|0.0391|0.0411|0.0417|0.0365|0.0333|0.0349|0.0349|0.0297|0.0339|0.0339|0.0333|0.0328|0.0333|0.0318|0.037|0.0609|0.0859|0.0995|0.0979|0.0823|0.1052|0.0885|0.0792|0.0776|0.0755|0.0745|0.0714|0.0708,0.1574|0.15|0.1426|0.1306|0.1083|0.1157|0.1185|0.1139|0.1065|0.1139|0.1083|0.1|0.0954|0.1019|0.1111|0.1435|0.1593|0.1704|0.1519|0.1481|0.1389|0.1204|0.1343|0.1389|0.1306|0.1231|0.1269|0.1222|0.1167
None,114.8,117.2,67_0,0.2756|0.4067|0.4691|0.597|0.592|0.6748|0.6188|0.4658|0.558|0.5552|0.4783|0.4106|0.4862|0.4394|0.5289|0.5793|0.4702|0.4517|0.2962|0.3818|0.3398|0.3585|0.3354|0.4183|0.5351,0.3917|0.3922|0.3833|0.388|0.3906|0.3911|0.4|0.4224|0.4578|0.475|0.4922|0.5021|0.513|0.5172|0.5224|0.5292|0.5365|0.5422|0.5469|0.55|0.5521|0.5526|0.5521|0.5552|0.5599,0.3167|0.3148|0.3204|0.3185|0.3213|0.3204|0.3167|0.2991|0.2963|0.2972|0.2889|0.2806|0.2796|0.2833|0.2806|0.275|0.2759|0.2769|0.2796|0.2806|0.2778|0.2796|0.2787|0.2787|0.2806,0.0839|0.0802|0.0802|0.074|0.0677|0.0656|0.0635|0.063|0.0474|0.0448|0.0448|0.0427|0.0401|0.0411|0.0401|0.0422|0.038|0.0443|0.0427|0.0417|0.0417|0.0401|0.0411|0.0401|0.0365,0.0861|0.0991|0.1019|0.1065|0.1093|0.1102|0.1083|0.1056|0.0907|0.087|0.0824|0.062|0.0806|0.0676|0.0713|0.0778|0.0667|0.0657|0.0639|0.0657|0.0722|0.0731|0.0731|0.0769|0.0769
