None,1.0,2.1,67_0,0.2619|0.4958|0.6328|0.4179|None|0.5324|0.4676|0.5076|0.6455|0.3348|0.3278|0.2763,0.6911|0.6453|0.6406|0.6365|None|0.6151|0.6068|0.6005|0.5849|0.5667|0.5583|0.526,0.7657|0.7426|0.7287|0.7213|None|0.7046|0.688|0.6694|0.6685|0.6741|0.687|0.688,0.1094|0.1354|0.1318|0.1312|None|0.125|0.1208|0.1109|0.1094|0.1031|0.1089|0.1266,0.1009|0.1231|0.112|0.1454|None|0.1167|0.1139|0.125|0.1037|0.1444|0.1306|0.1426
None,2.7,3.0,67_0,0.4497|0.4363|0.2977|0.5576,0.5182|0.5198|0.5255|0.5219,0.7917|0.7963|0.8056|0.8056,0.0896|0.0984|0.087|0.0766,0.0731|0.0731|0.0611|0.0583
None,6.1,6.6,67_0,0.3683|None|0.3231|0.3155|0.2603|0.2828,0.5177|None|0.5161|0.5161|0.5151|0.5151,0.812|None|0.812|0.813|0.813|0.812,0.0391|None|0.0422|0.0437|0.0448|0.0437,0.0574|None|0.0583|0.0574|0.0574|0.0583
None,1.4,1.9,65_0,0.2791|0.2507|0.2622|0.3701|0.3526|0.3064,0.4792|0.4792|0.4781|0.4771|0.4755|0.4797,0.4278|0.4231|0.4269|0.4269|0.4287|0.4287,0.1135|0.1094|0.1167|0.1302|0.1214|0.0922,0.1046|0.1167|0.1093|0.1111|0.1074|0.088
None,12.2,12.6,65_0,0.4161|0.363|0.3409|None|0.3876,0.925|0.9266|0.9344|None|0.9401,0.6694|0.6731|0.6815|None|0.6907,0.0682|0.0651|0.0646|None|0.0594,0.0417|0.038|0.0398|None|0.0407
None,11.7,13.1,73_0,0.4465|0.4538|0.4379|0.3516|0.3428|0.3922|0.357|0.2717|0.3091|0.5766|0.3051|0.2582|0.5903|0.2563|0.2542,0.9188|0.9188|0.9188|0.9208|0.9214|0.7906|0.7464|0.4729|0.9365|0.8062|0.9495|0.9521|0.8307|0.5807|0.6187,0.6657|0.6657|0.6648|0.6667|0.6667|0.7222|0.6648|0.8231|0.6843|0.7435|0.7065|0.7157|0.7898|0.1546|0.1713,0.0677|0.0677|0.0682|0.0661|0.0667|0.1115|0.0688|0.0589|0.0625|0.1167|0.0505|0.0479|0.113|0.0286|0.0286,0.0417|0.0426|0.0435|0.0398|0.0407|0.0843|0.0389|0.0454|0.0426|0.0907|0.0398|0.0435|0.0787|0.0889|0.0843
None,11.7,12.8,73_1,0.6528|0.6429|0.611|0.6204|0.5565|None|0.6264|0.7188|0.6887|None|0.6615|0.3595,0.7911|0.7906|0.7906|0.7917|0.7922|None|0.7984|0.8026|0.8047|None|0.8177|0.774,0.7139|0.7139|0.7148|0.7139|0.7157|None|0.7269|0.7315|0.7343|None|0.7565|0.7083,0.1109|0.1109|0.1109|0.1099|0.1099|None|0.1104|0.112|0.1125|None|0.1094|0.0677,0.0926|0.0926|0.0917|0.0926|0.0898|None|0.0917|0.0917|0.0926|None|0.0907|0.038
None,12.9,13.2,62_0,0.5737|0.6125|0.4496|0.3656,0.3812|0.3917|0.3953|0.4063,0.1694|0.1796|0.187|0.2056,0.0781|0.0729|0.075|0.0724,0.1333|0.1333|0.138|0.1278
None,13.0,13.7,0_2,0.8601|0.8562|0.8259|0.8684|0.846|0.9166|None|0.9323,0.3125|0.3161|0.2849|0.2594|0.6458|0.1677|None|0.1042,0.1824|0.1954|0.1843|0.1898|0.5398|0.2278|None|0.2583,0.1833|0.1307|0.1266|0.137|0.1615|0.1979|None|0.2448,0.6861|0.6667|0.6796|0.6731|0.3222|0.6417|None|0.6139
None,14.6,14.9,0_2,0.9355|0.9354|0.9425|0.9403,0.1401|0.1411|0.1401|0.1401,0.2907|0.2935|0.2944|0.275,0.2516|0.2417|0.2391|0.2432,0.5722|0.5704|0.5722|0.5907
