None,0.1,1.5,0_3,0.8176|0.7725|None|0.8026|0.8019|0.7829|0.7797|0.7792|0.7812|0.7782|0.7936|0.8242|0.8622|0.8573|0.8313,0.2445|0.6695|None|0.2445|0.2438|0.2438|0.2437|0.2438|0.2438|0.2437|0.2437|0.6828|0.6875|0.6836|0.6859,0.3569|0.3889|None|0.3583|0.3583|0.3542|0.3569|0.3556|0.3556|0.3542|0.3542|0.3861|0.3792|0.375|0.375,0.1852|0.1602|None|0.25|0.2531|0.2539|0.2555|0.2531|0.25|0.2484|0.2484|0.1562|0.1555|0.1703|0.1875,0.6042|0.6028|None|0.6028|0.6042|0.6069|0.6042|0.6028|0.6028|0.6056|0.6042|0.6083|0.6139|0.6181|0.6194
None,0.1,2.3,45_0,0.4564|0.4884|0.5096|0.5045|0.5186|0.5506|0.5429|0.5403|0.492|0.4803|0.4739|0.4549|0.444|0.4461|0.4892|0.4878|0.4255|0.5459|0.4146|0.3786|0.4449|0.4171|0.2511,0.6258|0.6258|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6266|0.6258|0.6266|0.6273|0.6258|0.6266|0.6258|0.6266|0.6266|0.6258,0.6639|0.6639|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6653|0.6639|0.6653|0.6639|0.6653|0.6653|0.6667|0.6667|0.6681,0.0508|0.0516|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0477|0.0469|0.0484|0.0492|0.0461|0.043|0.043|0.043|0.0398,0.0542|0.0542|0.0542|0.0542|0.0542|0.0542|0.0542|0.0542|0.0542|0.0542|0.0528|0.0528|0.0528|0.0528|0.0528|0.0542|0.0528|0.0542|0.0514|0.05|0.0472|0.0486|0.0472
None,0.1,2.6,0_1,0.7563|0.7069|0.7351|0.7042|0.6985|0.586|0.6024|0.7229|0.7389|0.6969|0.6854|0.6846|0.4315|0.4582|0.4478|0.7238|0.7112|0.4507|0.4609|0.4395|0.4129|0.4375|0.4416|0.4397|0.4684|0.4706,0.3578|0.357|0.357|0.357|0.3578|0.3586|0.357|0.357|0.3578|0.3586|0.3602|0.3602|0.3602|0.1867|0.1867|0.2445|0.2453|0.1867|0.1867|0.1867|0.1867|0.1867|0.1867|0.1867|0.1867|0.1867,0.3486|0.3458|0.3417|0.3472|0.3444|0.35|0.3694|0.3903|0.3944|0.3944|0.3917|0.3944|0.3528|0.3708|0.3722|0.3528|0.3528|0.3708|0.3708|0.3708|0.3722|0.3722|0.3722|0.3722|0.3722|0.3708,0.1516|0.1531|0.1562|0.1531|0.1531|0.1461|0.1477|0.1523|0.1492|0.1383|0.1344|0.1367|0.143|0.1172|0.1172|0.2477|0.2383|0.1172|0.1172|0.1172|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164,0.3792|0.3639|0.3181|0.3139|0.3153|0.3083|0.2861|0.2667|0.2625|0.2597|0.2625|0.2597|0.2917|0.2486|0.2458|0.6111|0.6111|0.2472|0.2486|0.2486|0.2472|0.2458|0.2458|0.2472|0.2472|0.2486
None,0.1,2.6,0_2,0.7898|0.7564|0.8183|0.7177|0.7215|0.7173|0.7409|0.727|0.7475|0.7586|0.768|0.7854|0.7703|0.7973|0.7538|0.8614|0.8489|0.7301|0.7455|0.7577|0.7535|0.744|0.7525|0.7424|0.7273|0.7408,0.6688|0.2445|0.2445|0.6609|0.6594|0.6586|0.6609|0.6594|0.6594|0.6703|0.6758|0.2445|0.2438|0.2437|0.2437|0.6789|0.6805|0.2445|0.2453|0.2453|0.2445|0.2453|0.2445|0.2453|0.2453|0.2453,0.3903|0.3597|0.3528|0.3917|0.3903|0.3931|0.3917|0.3917|0.3903|0.3903|0.3875|0.3542|0.3528|0.3542|0.3528|0.375|0.3806|0.3528|0.3542|0.3542|0.3542|0.3542|0.3556|0.3556|0.3556|0.3556,0.1609|0.1844|0.2586|0.175|0.1937|0.1727|0.1648|0.1695|0.1719|0.1664|0.1609|0.2445|0.2539|0.2602|0.2562|0.1984|0.1969|0.2344|0.2297|0.232|0.2352|0.2359|0.2391|0.2367|0.2336|0.2328,0.6028|0.6014|0.6111|0.6|0.6056|0.5986|0.6014|0.6|0.6028|0.6056|0.6069|0.6042|0.6111|0.6069|0.6111|0.6194|0.6153|0.6125|0.6111|0.6111|0.6097|0.6111|0.6097|0.6083|0.6083|0.6083
None,1.9,2.6,0_3,0.8767|0.8578|0.85|0.8278|0.8578|0.8681|0.8805|0.8699,0.6688|0.6664|0.6711|0.6695|0.6625|0.6531|0.6492|0.6477,0.3875|0.3972|0.4028|0.4083|0.4056|0.4056|0.4083|0.4069,0.2016|0.1969|0.1844|0.2055|0.2031|0.2055|0.1984|0.2023,0.6014|0.5903|0.5889|0.5847|0.5889|0.5903|0.5861|0.5861
None,0.1,1.5,39_0,0.2585|0.257|0.2628|0.2752|0.2709|0.2562|0.2939|0.2595|0.2741|0.2866|0.2629|0.2995|0.2646|0.2575|0.27,0.5797|0.5797|0.5789|0.5789|0.5789|0.5312|0.5789|0.532|0.532|0.532|0.532|0.5797|0.5789|0.6078|0.5305,0.5389|0.5389|0.5361|0.5361|0.5361|0.5861|0.5347|0.5861|0.5861|0.5861|0.5861|0.5375|0.5361|0.5278|0.5847,0.0188|0.0188|0.0227|0.0227|0.0234|0.025|0.0242|0.0242|0.0242|0.0242|0.0242|0.0203|0.0227|0.0211|0.0266,0.0542|0.0542|0.0625|0.0653|0.0639|0.0708|0.0694|0.0708|0.0722|0.0722|0.0722|0.0625|0.0667|0.0736|0.0764
None,0.1,2.6,41_0,0.2541|0.268|0.3194|0.3101|0.3404|0.3499|0.346|0.3218|0.3045|0.3|0.2984|0.3276|0.2843|0.2637|0.3614|0.339|0.3463|0.365|0.3691|0.361|0.3866|0.36|0.3561|0.3572|0.3329|0.3016,0.4937|0.4938|0.532|0.532|0.532|0.532|0.532|0.4938|0.4938|0.4938|0.65|0.4938|0.532|0.65|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938|0.4938,0.7569|0.7569|0.5847|0.5847|0.5847|0.5847|0.5847|0.7569|0.7569|0.7569|0.5917|0.7569|0.5847|0.5917|0.7583|0.7583|0.7569|0.7583|0.7583|0.7583|0.7583|0.7583|0.7583|0.7583|0.7583|0.7583,0.0312|0.032|0.025|0.025|0.025|0.025|0.025|0.0305|0.0305|0.0305|0.0227|0.0305|0.025|0.0227|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305|0.0305,0.0931|0.0944|0.0736|0.0736|0.0736|0.0736|0.0736|0.0944|0.0944|0.0958|0.0736|0.0958|0.075|0.0736|0.0931|0.0931|0.0944|0.0931|0.0931|0.0931|0.0931|0.0931|0.0931|0.0931|0.0931|0.0931
None,0.1,1.5,39_1,0.3489|0.3569|0.2837|0.2917|0.2862|0.303|0.3032|0.2827|0.3285|0.3078|0.3074|0.5402|0.2806|0.2903|0.2769,0.6211|0.6203|0.607|0.607|0.607|0.5789|0.607|0.5797|0.5797|0.5797|0.5797|0.618|0.532|0.5297|0.6078,0.4583|0.4583|0.5292|0.5292|0.5292|0.5306|0.5278|0.5361|0.5375|0.5375|0.5375|0.45|0.5847|0.5847|0.5278,0.0203|0.0211|0.0227|0.0234|0.0234|0.0242|0.0227|0.0203|0.0203|0.0203|0.0203|0.025|0.025|0.0266|0.0219,0.1375|0.1389|0.0694|0.0708|0.0708|0.0597|0.0722|0.0625|0.0611|0.0611|0.0611|0.15|0.075|0.1042|0.0722
None,0.9,1.1,39_2,0.5219|0.5439|0.5622,0.618|0.6172|0.618,0.4514|0.4514|0.4514,0.025|0.0258|0.025,0.15|0.15|0.1486
None,0.1,1.4,41_1,0.3758|0.3285|0.3739|0.3507|0.3563|0.3962|0.3715|0.3281|0.3331|0.3159|0.3253|0.3572|0.3369|0.3942,0.532|0.6578|0.4938|0.4938|0.4938|0.4938|0.4938|0.532|0.532|0.532|0.4938|0.532|0.4938|0.4938,0.5847|0.5014|0.7569|0.7569|0.7569|0.7569|0.7569|0.5847|0.5847|0.5847|0.7569|0.5847|0.7569|0.7569,0.0242|0.025|0.0305|0.0305|0.0305|0.0305|0.0305|0.025|0.025|0.025|0.0305|0.025|0.0305|0.0305,0.0736|0.0514|0.0944|0.0944|0.0958|0.0958|0.0958|0.0736|0.0736|0.0736|0.0944|0.0736|0.0944|0.0944
